,Unnamed: 0,Direction,Price,m2,Floor,Room,Description
100,," Piso en pasaje José Sánchez Pescador, 4, Pacífico, Madrid ",920€/mes,55 m²,Planta 4ª exterior con ascensor,1 ," Se alquila estupenda vivienda de 1992 en Pacífico, Retiro de55 m2 (44 m2 útiles según la Dirección General de Catastro) exterior y muy luminosa en finca con ascensor. Consta de 1 dormitorio, cuarto de baño con plato de ducha, amplio salón comedor con mirador, y cocina americana en línea de pared. "
101,," Dúplex en Las Tablas, Madrid ",2.100€/mes,105 m²,Planta 5ª exterior con ascensor,2 ," La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso ático dúplex amueblado, de 105 m2 y 2 habitaciones y terraza, situado en urbanización cerrada con estupendas zonas comunes, próximo al metro Tablas, que consta de los siguientes elementos: Planta entrada: Hall de entrada. Una coci "
102,," Estudio en calle de Vallehermoso, Arapiles, Madrid ",1.299€/mes, sin ascensor,2 horas,20 m²," RESERVAS E INQUIETUDES Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"". TÉRMINOS Y CONDICIONES DE ALOJAMIENTO: - Fecha de disponibilidad: 14/12/2023 - Duración mínima del alquiler: 90 días - Máximo de huéspedes: 2 - Todas las facturas incluida "
103,," Piso en Castellana, Madrid ",3.500€/mes,153 m²,Planta 1ª exterior con ascensor,3 ," La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso piso sin amueblar, de 153 m2, y 3 dormitorios; próximo al metro Núñez de Balboa, que consta de los siguientes elementos: Hall de entrada. Una amplia y moderna cocina con office, totalmente equipada y amueblada, con todos los elect "
104,," Piso en calle Canarias, Palos de Moguer, Madrid ",1.200€/mes,90 m²,Planta 2ª exterior con ascensor,3 ," Muy luminoso, Céntrico. Con calefacción central y agua caliente. Tres dormitorios, exteriores, baño completo, terraza. Amueblado. A pocos minutos de metro y renfe Delicias y Atocha Renfe. "
105,," Dúplex en calle de Velázquez, 164, El Viso, Madrid ",5.500€/mes,313 m²,Planta 1ª con ascensor,5 ," VIBA ofrece en régimen de alquiler este maravilloso DUPLEX de 235 metros distribuidos en 2 plantas. Jardín privado de 55 m2 útiles aprox. 3 plazas de garaje y trastero. En su planta baja nos encontramos, el hall de entrada con armario empotrado, dando paso un amplio salón-comedor dividido en 2 amb "
106,," Dúplex en calle de San Enrique, 4, Cuatro Caminos, Madrid ",1.250€/mes,100 m²,Planta 3ª exterior sin ascensor,1 , Telefono/Whatsapp Loft muy bien situado a solo 20 metros de Bravo Murillo. A 1 minuto andando de la estación de metro de Estrecho y a 10 minutos de la de Santiago Bernabeu. Con todos los servicios próximos. En la misma calle que el Mercado se San Enrique y el Mercadona. A solo unos minutos andando 
107,," Piso en Recoletos, Madrid ",2.500€/mes,123 m²,Planta 3ª exterior con ascensor,3 ," La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso piso amueblado, de 123 m2, 3 habitaciones y balcón; próximo al metro Velázquez y Serrano, que consta de los siguientes elementos: Hall de entrada. Una cocina, totalmente equipada, con todos los electrodomésticos incluidos. Un saló "
108,," Piso en calle Monasterio de Montesclaros, 4, Montecarmelo, Madrid ",1.400€/mes,107 m²,Planta 2ª exterior con ascensor,2 ," ""Estupenda vivienda de 2 dormitorios y 2 baños completos en ALQUILER en la Calle Monasterio de Montesclaros. Se trata de una segunda planta, exterior y con ascensor. Se alquila sin amueblar pero con todos los electrodomésticos. Perfecto estado de conservación Aire Acondicionado por conducto en toda "
109,," Piso en calle de Claudio Coello, 26, Recoletos, Madrid ",2.650€/mes,115 m²,Planta 2ª con ascensor,2 , MAGNIFICA VIVIENDA Junto Calle Serrano y Plaza de Colón. Salón independiente. 2 dormitorios (Principal con armarios empotrados y secundario con Vestidor) 2 baños en suite (principal con plato ducha) Cocina independiente totalmente amueblada y equipada. Incluye tendedero donde se encuentra Caldera y 
110,," Piso en Lavapies, Lavapiés-Embajadores, Madrid ",1.500€/mes,55 m²,Planta 2ª exterior con ascensor,2 ," POR MESES Bonito piso de DOS HABITACIONES DOBLES CON BALCÓN en pleno centro de Madrid con todo menaje, utensilios, electrodomésticos, ropa de cama, etc. Suelo de parquet. Tiene calefacción. Finca con ascensor. Muy bien situado y muy bien comunicado. "
111,," Piso en El Cañaveral, Madrid ",1.550€/mes,178 m²,Bajo exterior con ascensor,3 ," La Inmobiliaria Internacional CPM gestiona este estupendo y luminoso piso sin amueblar, de 178 m2 3 dormitorios y terraza, situado en urbanización cerrada, con estupendas zonas comunes que consta de los siguientes elementos: Hall de entrada. Una cocina con office, totalmente equipada, con todos los "
112,," Piso en calle Raza, 4, Canillejas, Madrid ",900€/mes,60 m²,Planta 2ª exterior sin ascensor,2 ," GRUPO INTERPRES alquila en exclusiva este piso totalmente reformado de 60m² en Canillejas (junto a calle Alcalá). Consta de salón de 23m² con terraza cerrada, cocina americana con todos los electrodomésticos, dos dormitorios y un baño con plato de ducha y mampara. Calefacción y agua caliente individ "
113,," Piso en calle de Núñez de Balboa, 12, Recoletos, Madrid ",4.500€/mes,168 m²,Planta 5ª exterior con ascensor,3 ," Viba Real Estate ofrece esta magnífica vivienda en edificio representativo de 168m2 en la calle Nuñez de Balboa, entre las calles de Jorge Juan y Villanueva. Ubicada en una quinta planta con portero físico y ascensor. Consta de un amplio salón-comedor exterior. Cocina independiente totalmente amueb "
114,," Piso en calle de Voluntarios Macabebes, 3, Chopera, Madrid ",825€/mes,53 m²,Bajo exterior con ascensor,2 ," Se alquila vivienda de 53m2 (48m útiles según catastro) con 2 dormitorios, salón, cuarto de baño completo y cocina independiente totalmente equipada con electrodomésticos. Dispone de suelos de gres, puerta blindada, armarios y calefacción individual por caldera de Gas Natural. La vivienda se alquila "
115,," Piso en Castellana, Madrid ",4.200€/mes,230 m²,Planta 5ª exterior con ascensor,2 ," La Inmobiliaria Internacional CPM gestiona este espectacular y luminoso piso de 230 m2, 2 dormitorios, ubicado a escasos metros de la plaza del Marqués de Salamanca, en un edificio de carácter señorial en el barrio Salamanca, junto al metro Velázquez. La vivienda consta de los siguientes elementos: "
116,," Piso en German Pérez Carrasco, Quintana, Madrid ",900€/mes,50 m²,Planta 2ª exterior sin ascensor,2 ," ¿Estás buscando una vivienda luminosa, recién reformada y cómoda? ¡Esta es tu oportunidad! Descripción de la propiedad: Estupendo piso de 50 m2, recién reformado en la zona de Pueblo nuevo.. . Es una segunda planta con ascensor, consta de 2 dormitorios, 1 baño con plato de ducha, salón-comedor y "
117,," Piso en calle de Hermosilla, 18, Recoletos, Madrid ",3.900€/mes,170 m²,Planta 2ª exterior con ascensor,3 ," MAGNÍFICA VIVIENDA EN PLENO BARRIO DE SALAMANCA. 3 dormitorios ( EL PRINCIPAL EXTERIOR), con armarios empotrados. 3 baños en suite. Aseo de cortesía Amplísimo Salón-comedor independiente de 55 m2 aprox. Cocina independiente amueblada y equipada. Calefacción por Gas Natural. Aire acondicionado indi "
118,," Estudio en calle del Manco de Lepanto, Numancia, Madrid ",630€/mes,Bajo exterior sin ascensor,3 horas,23 m²," POR FAVOR LEER TODA LA DESCRIPCIÓN DEL ANUNCIO, ANTES DE CONTACTAR POR WhatsApp Se alquila habitacion ( estudio un solo espacio) con baño y cocina americana, planta baja exterior, amueblado y cocina equipada con nevera pequeña, se alquila a persona sola o pareja sin Hijos. NO SE ACEPTAN MASCOTAS el "
119,," Piso en calle de Serrano, 28, Recoletos, Madrid ",4.600€/mes,165 m²,Planta 3ª con ascensor,3 ," VIBA les ofrece una exclusiva vivienda en plena Milla de Oro, frente a la Plaza de Colón. Edificio de fachada clásica y representativa, catalogado como histórico. Consta de hall de entrada, Amplio salón. 3 balcones a jardines interiores. Cocina totalmente amueblada y equipada con electrodoméstic "
